class,clean_text
1,carries movie well
1,constantine gives everything right intensity seems good understanding underlying psychological motivations
1,wonderful inspiring watch hope gets released video dvd
0,piece trash ever released beyond acting story characters supposedly special effects etc wrong
0,fact stinker smells like direct video release
0,avoid costs
0,star trek v final frontier worst series
0,acting involved includes like shatner nimoy bad washed making seem old look real life special effects tacky like spock rescue kirk jet pack falls mountain
0,attempts humor pitiful story awful dose not bear thinking basically involves vulcan stealing enterprise find god seriously not care film oh not mention uhura belly dance distract male guards
0,place good film garbage
0,worst one series
1,editing editing film phenomenal opinion
1,song could explain emotions subjects better jay adams unfortunate life subject talk song old man neil young played evokes many emotions
1,cinematography film shot interesting way
1,course footage grainy enhanced film
1,film offers many delights surprises
1,achille philippa beautifully sing duet giovanni perfectly describes situation movie appreciate subtle layers excellent film
1,story unfolds century jutland use period music played period instruments one fine touch
1,share general loewenhielm exquisite joy partaking cailles en sarcophage even though watching movie wish small sample savor
1,understated film leaves lasting impression
1,warmth generates contrast austere backdrop
1,leave theater wanting go dance stars
1,acting would expect cast top notch
1,characters fleshed surprisingly well particularly grimes blake actors deliver sharply scripted lines right amount deadpan tongue cheek make dialogue hilarious realistic
1,angus scrimm also turns good performance somewhat brief memorable role gently menacing violin playing anatomist doctor quinn
1,conclusion loved
1,long time since entertained movie
1,struggle find anything bad say
1,mark words one cult films like evil dead phantasm people still discovering falling love years line
1,pretty surprising wonderful film made hollywood generally collective heads sand concerning black white issues time
1,film deserves strong kudos taking stand exceptional acting mostly lesser known cast super intelligent script not insult audience take easy way comes white racism
1,plus movie rather modest budget fast running time amazing job
1,juano hernandez exceptional actor played supporting roles many films era proud black man accused murdering white man south
1,trumbull love lucy
1,see kids chance open amazing dialog far race relations come last years
1,see films
1,year however reminded us huston still top game evinced faithful adaptation james joyce acclaimed novella dead
1,feelings thoughts gabriel discomfort dance intangibles leap life come within viewer grasp huston portrayal
0,disappointed wondered could oscar shortlist
0,slow
0,lot holes plot nothing became emperor nothing spend years childhood mature age
0,not waste time
0,end days one worst big budget action movies ever seen
0,surely not know make coherent action movie screenwriter air force one obliged write script big sum money
0,one worst films ever seen
0,still trying get bad
1,movie possibly one creative works horror ever
1,everything could want suspense drama comedy confusing subplots native americans brain eating looking end brainsucking movies look no
1,great sound effects impressive special effects not recommend movie enough call nut think one best movies ever great character actors telly savalas peter boyle hour minutes sheer tedium melodrama horrible acting mess script sinking feeling good lord thinking lots holes script like bad two hour tv movie imagine every single one decisions made wrong dialogue atrocious acting beyond abysmal everything stinks trouble writing directing make impossible establish things make movie watchable like character story theme worse incredibly weak sub plot thrown follows little band latter day mansonites go reporter working story anniversary killings dumb pointless complete waste time short not bother movie not spoil ending pretty amazing best scene movie end not spoil ever indication writer director ability meld two highly volatile temperaments seamless union creativity result powerhouse achievement made timely perhaps culture disturbing fascination celebrity distorted interpretations fame film not easily forgotten kevin spacey excellent verbal tsunami buddy ackerman totally believable great actor scripting subtle comedy unmatched movie recent years characters interesting even bit predictable highly recommended ages although younger set probably not appreciate subtle references certainly appreciate one galley scene particular great movie also story acting weak around pm bought around started watch around fast forwarded remaining film see anything left watchable human brain not either way sucks script horrendously stupid story starts fast absolutely no suspense build slightest everything captain howdy says either laughable plain stupid hell kind crap plot holes could drive semi truck holes linda cardellini thing good film poised amazing dee snider plain sucks not act one least scary villains ever seen not write write damn movie sleep bored throughout whole damn thing acting sucks music sucks script sucks pacing sucks special fx suck directing sucks basically movie sucks film tries serious sophisticated thriller horror flick fails miserably probably one least effective utterly unoriginal films ever seen entire life piece cinematic garbage captured celluloid avoid costs rate film stinks not funny fulci stayed giallo supernatural zombie movies avoid film costs not know happened season five mess consistent thread holding series together amazing performances leni parker anita laselva two taelons quiet idealogical conflict movie really dislike one boring horror movies mainly starts slow centers boring atmosphere puppets look really cheesy not good way like puppet master flicks story lame not interesting never really explains sinister origins puppets not death scenes like previous movies f x terrible felt asleep first time watched recommend insomniacs fact film wonderful heartwarming tale two people chasing dreams best part nurse betty unpredictability
1,director neil labute uses brutal violence seperate dreams reality along touching drama hilarious comedy never tell going happen next
0,otherwise not even waste time
0,one fails create real suspense
0,killer not expect anything original even remotely frightening
1,however pretty good acting least type film
0,sorry really not recommend anyone
0,one boring pointless movies ever seen
0,secondary plot line incomprehensible relation primary plot line mystifying
0,hated
0,one worst sandra bullock movie since speed not quite bad
0,not understand garbage got shelves movie store not even real movie
0,highly doubt anyone could ever like trash
0,not movie making
0,acting like watching wooden puppets moving around reading book bad
0,warn not rent movie dumbest thing never seen
1,saw short film hbo day absolutely loved
1,not realize wonderful short really last two scenes
1,excellent short film
1,hopefully director james cox turn short feature length film cast win us whole new film
0,agree jessica movie pretty bad
0,characters one dimensional even good guys especially bad guys
0,story line totally predictable
1,not much dialogue not much music whole film shot elaborately aesthetically like sculpture
0,seen soap operas intelligent movie
0,bad characters bad story bad acting
0,really awful
0,not easy watch
1,funny clever hip like pray previous film hype
1,long time not see charismatic actor screen
1,paolo sorrentino written wonderful story loneliness tony built one unforgettable characters seen movies recent years
1,movie not completely perfect titta di girolamo stay long time vision movie
1,rate movie
1,not know emilio estevez directorial debut pacing interplay development characters well clever camera work surrounding character estevez plays suggest natural eye
1,interplay martin emilio contains wonderful chemistry saw wall street martin charlie
1,kathy bates wonderful characters subtle desperation escapism variation character play fields lord
1,readers already seen one miyazaki films still top form made another worthwhile experience
1,never condescends characters good genuine hearts believable problems
1,two main characters may two believable children ever saw put screen
1,easy love even easy identify
1,movie great especially enjoy visual arts
1,scenery two daughters paint photograph beautiful
1,story also funny poignant times
1,people like european films art movies like movie
1,truly art movie actually lot art
1,go rent
1,however finally watching film realized not closed mind brilliance depicts also found watching
1,one movie never ceases interest simply keeps alert try attempt decipher meanings
1,brilliance indeed
1,liked movies like matrix better yet sequels think appreciate thought provoking mindblowing experience film give
1,think film like dream
1,simply beautiful
1,rickman stowe play roles hilt tale childrens book writer maybe written subversive tract
1,gloriously fun fast paced fairly accurate portrayal night raver
1,presents idyllic yet serious portrayal ups downs characters lives
0,whatever avoid groove antithesis good human traffic
0,bad everyone else involved not share crowe level dedication quality would far better film hands sub par mess
0,movie seemed little slow first
1,picked speed got right point
1,showed exactly government scientist argued humanity reasons gadget
1,enjoyed
1,recommended friends
1,particularly pleased acting ability dwight schultz
1,actors truly understand become particular character delivering convincing sincere performance
1,screen chemistry critical entire film genuine
1,film dialogue natural real life
1,writer gorman bechard undoubtedly homework references industry character age appropriate
1,incredible soundtrack truly captures essence film
1,track commands sentiment actually contributing scenes characters
1,definitely worth seeing sort thought provoking film forces question threshold loneliness
1,hayao miyazaki latest eighth film studio ghibili gake no ue no ponyo ponyo cliff sea wonderfully fun imaginative look childhood
1,time seems film animation dominated disney pixar cgi masterpieces refreshing comforting know miyazaki still relying traditional hand drawn animation tell charming enchanting stories
1,enough not said remarkable animation film
1,art style appearance crayon pencil drawings wonderfully colorful fanciful
0,act film glad gonna drift away earth far possible
0,one wants surf small wave space movies deep impact armageddon one fails everywhere
0,not choked vomit end cheap drama worthless dialogue must bored death waste time
1,still makes super ending depicts great sea vessel taken mighty frost
1,consider excellent story solid acting look film added bonuses
0,instead got bore fest whiny spoiled brat babysitting
1,watched two sundays ago march began really enjoy time taped entire thing
1,well acted done tv movie
1,judith light one favorite actresses think superb job film
1,keep watching
1,sad movie good
1,not seen movie definitely recommend
1,lovely usual cutie
1,still quite interesting entertaining follow
1,recommend confidence
1,movie well balanced comedy drama thoroughly enjoyed
1,riot see hugo weaving play sex obsessed gay real estate salesman uses clients houses trysts flaming darren tom hollander
1,anyway plot flowed smoothly male bonding scenes hoot
1,opening sequence gem classic cat n mouse games follow delight watch
1,fans genre heaven
1,lange become great actress
1,looked like wonderful story
0,never walked movie faster
0,got bored watching jessice lange take clothes
0,unfortunately virtue film production work lost regrettable script
0,word embarrassing
0,exceptionally bad
0,insult one intelligence huge waste money
